ID,Area,Feature,User Story,Expected Behavior,Reachable,Status,TestMethod,TestResult,Errors,Fix,Notes
C2,Worktrees list,Select worktree,As a user I pick a worktree to inspect.,Tapping a row highlights it and loads its file tree + status into CHANGES/FILES.,Yes,Tested-Pass,static trace + suite,works (verified),,,
C3,Worktrees list,Ahead/behind sync indicator,As a user I see each worktree's divergence at a glance.,Each row shows `↓behind ↑ahead` from status.,Yes,Tested-Pass,static trace + suite,works (verified),,,
C4,Worktrees list,Live activity pulse,As a user I see which worktree an agent is actively writing.,A green dot pulses when the worktree was written within the busy window (5s).,Yes,Tested-FAIL,static trace,bug/med/ux,"LiveDot pulse animation only starts in .onAppear behind guard active; no .onChange(of:active), so it never animates when isLive flips true (renders a static dot). Also isLive is recomputed only on selectRepo + manual refresh, never on FSEvents, so it rarely reads live at all.",PENDING: animate on active change; recompute worktree info on file-watch activity.,
C5,Worktrees list,Refresh worktree info,As a user I manually refresh sync/live state.,The refresh button re-queries ahead/behind/change-count/live for all worktrees.,Yes,Tested-Pass,static trace + suite,works (verified),,,
C6,Worktrees list,Collapsed header summary,As a user a collapsed WORKTREES header still shows the active worktree.,Collapsed header shows the active branch name + live dot.,Yes,Tested-Pass,static trace + suite,works (verified),,,
C7,Worktrees list,Empty states,As a user I get guidance when there is nothing to show.,Shows 'No repository added' or 'No worktrees' appropriately.,Yes,Tested-Pass,static trace + suite,works (verified),,,
D1,Changes,Grouped change list,As a user I see working changes grouped by folder.,"Changes group by parent folder, sorted; each shows filename + status letter.",Yes,Tested-Pass,static trace + suite,works (verified),,,
D2,Changes,Change count badge,As a user I see how many files changed.,Header shows a count badge equal to changes.count.,Yes,Tested-Pass,static trace + suite,works (verified),,,
D3,Changes,Stage a change,As a user I stage a file.,Context menu Stage runs `git add` via the serial queue and refreshes.,Yes,Tested-Pass,static trace + suite,works (verified),,,
D4,Changes,Unstage a change,As a user I unstage a staged file.,Context menu Unstage runs `git restore --staged` and refreshes.,Yes,Tested-Pass,static trace + suite,works (verified),,,
D5,Changes,Discard a tracked change (guarded),As a user I discard working changes with a safety confirm.,Discard… opens a confirm dialog; on confirm runs `git restore` and refreshes.,Yes,Tested-Pass,static trace + suite,works (verified),,,
D6,Changes,Discard untracked (guarded),As a user I remove an untracked file safely.,For an untracked file Discard… runs `git clean -f` (not restore) after confirm.,Yes,Tested-Pass,static trace + suite,works (verified),,,
D7,Changes,Commit working set,As a user I commit my changes with a message.,Typing a message + Commit button or ⌘↩/Enter stages everything not staged then commits and clears the message.,Yes,Tested-FAIL,static trace,gap/med/ux,Commit box placeholder advertises '⌘↩ to commit' but no keyboardShortcut is bound; the multiline .onSubmit is unreliable. Commit works only via the button.  Also: commit drops the unstaged half of a partially-staged file (stages only !isStaged paths).,"PENDING: add .keyboardShortcut(.return, modifiers: .command) to the Commit button.",
D8,Changes,Commit button state/labels,As a user the commit affordance reflects whether I can commit.,Button disabled with 'Nothing to commit' (0 changes) or 'Enter a message…' (empty); else 'Commit N change(s)'.,Yes,Tested-Pass,static trace + suite,works (verified),,,
D9,Changes,Peek a change diff,As a user I preview a change's diff with space.,Selecting a change then space opens the floating diff peek (staged or unstaged diff as appropriate).,Yes,Tested-Pass,static trace + suite,works (verified),,,
D10,Changes,Diff peek follows selection,As a user the open peek updates as I pick another change.,"While the peek is open, selecting another change live-updates its content.",Yes,Tested-Pass,static trace + suite,works (verified),,,
E1,Files,Lazy file tree,As a user I browse the worktree's files as a tree.,Directories first then files; subdirectories load lazily on expand.,Yes,Tested-Pass,static trace + suite,works (verified),,,
E2,Files,Expand/collapse directory,As a user I open and close folders.,"Tapping the triangle/row, double-click, or Enter toggles a directory; children appear indented.",Yes,Tested-Pass,static trace + suite,works (verified),,,
E3,Files,Change badges in tree,As a user I see which files changed within the tree.,Changed files show a status letter; directories containing changes show an amber dot.,Yes,Tested-Pass,static trace + suite,works (verified),,,
E4,Files,Search files,As a user I filter the tree by filename.,Typing a query yields a flat list of matching files.,Yes (loaded subtree only),Tested-PARTIAL,static trace,gap/low/ux,File search only matches files in already-expanded/loaded subtrees (no recursive disk scan); files in collapsed folders are silently missed. Documented limitation.,Accepted limitation (documented); optional: hint 'searches expanded folders'.,
E5,Files,Sort order,As a user I sort files by name or recently changed.,"FILES ··· > Sort toggles Name vs Recently changed (by mtime, dirs first).",Yes,Tested-Pass,static trace + suite,works (verified),,,
E6,Files,Show ignored toggle,As a user I optionally reveal git-ignored files.,FILES ··· > Show ignored rebuilds the tree including ignored paths.,Yes,Tested-Pass,static trace + suite,works (verified),,,
E7,Files,All | Changed filter,As a user I narrow the tree to only changed files.,PRD §5.1 All|Changed: model.filter=.changed should derive the tree from the change list.,No (not wired),Tested-FAIL,unit ViewModelTests:110,unreachable/med/functional,"All|Changed filter logic exists and is unit-tested, but NO UI control sets worktree.filter, so the tree is permanently stuck on .all.",PENDING: add an All|Changed Picker bound to $worktree.filter in the FILES ··· menu.,
E8,Files,Keyboard selection,As a user I move the selection with arrow keys.,"Up/Down move selection through visible rows, clamped at ends.",Yes,Tested-Pass,static trace + suite,works (verified),,,
E9,Files,Activate selection (Enter),As a user Enter opens a file or toggles a folder.,Enter on a file opens it in its native app; on a folder toggles expansion.,Yes,Tested-Pass,static trace + suite,works (verified),,,
E10,Files,Collapsed header branch,As a user a collapsed FILES header shows the active branch.,Collapsed FILES header shows the active worktree's branch/name.,Yes,Tested-Pass,static trace + suite,works (verified),,,
E11,Files,Empty states,As a user I get guidance when there are no files.,Shows 'No files' or 'Add a repository to get started'.,Yes,Tested-Pass,static trace + suite,works (verified),,,
F1,File ops,Open file,As a user I open a file in its native app.,Open (menu/Enter/double-click) launches the default app; errors surface.,Yes,Tested-Pass,static trace + suite,works (verified),,,
F2,File ops,Open With…,As a user I open a file in a chosen app.,Open With… presents an app chooser under /Applications and opens with it.,Yes,Tested-Pass,static trace + suite,works (verified),,,
F3,File ops,Reveal in Finder,As a user I reveal a file in Finder.,Reveal in Finder selects the file in Finder.,Yes,Tested-Pass,static trace + suite,works (verified),,,
F4,File ops,Quick Look (context menu),As a user I Quick Look a file from its context menu.,Context menu Quick Look should show a preview of the file.,Yes (suspected broken),Tested-FAIL,static trace,bug/high/functional,"Context-menu Quick Look calls preview.toggle but never openWindow(id:'preview'); the preview Window only opens via openWindow, so nothing appears. Also leaves preview.isVisible=true with no window, desyncing the CHANGES diff-peek toggle (next space is a no-op).",PENDING: call openWindow(id:'preview') after preview.toggle (mirror toggleDiffPeek).,
F5,File ops,New File…,As a user I create a new file.,New File… prompts a name and creates an empty file in the folder (or the file's parent); refreshes.,Yes,Tested-Pass,static trace + suite,works (verified),,,
F6,File ops,New Folder…,As a user I create a new folder.,New Folder… prompts a name and creates the directory; refreshes.,Yes,Tested-Pass,static trace + suite,works (verified),,,
F7,File ops,Rename…,As a user I rename a file/folder.,Rename… prompts; refuses an existing destination name; otherwise moves and refreshes.,Yes,Tested-Pass,static trace + suite,works (verified),,,
F8,File ops,Duplicate,As a user I duplicate a file/folder.,"Duplicate creates '<name> copy' (then ' copy 2', …) next to the original.",Yes,Tested-Pass,static trace + suite,works (verified),,,
F9,File ops,Copy Path,As a user I copy a file's absolute path.,Copy Path puts the absolute path on the pasteboard.,Yes,Tested-Pass,static trace + suite,works (verified),,,
F10,File ops,Move to Trash (guarded),As a user I trash a file safely.,"Move to Trash… confirms, then moves the item to the macOS Trash (never rm).",Yes,Tested-Pass,static trace + suite,works (verified),,,
G1,Preview,Native Quick Look (FILES space),As a user I press space on a file to Quick Look it Finder-style.,"Space on a FILES row opens the system QLPreviewPanel over all visible files, starting on the selection; its arrows page through.",Yes,Tested-Pass,static trace + suite,works (verified),,,
G2,Preview,In-app diff peek (CHANGES space),As a user I press space on a change to see its diff.,Space on a CHANGES row opens a floating in-app diff window.,Yes,Tested-Pass,static trace + suite,works (verified),,,
G3,Preview,Unified vs split toggle,As a user I switch the diff between unified and side-by-side.,The peek header toggle switches layouts; the choice persists across sessions.,Yes,Tested-Pass,static trace + suite,works (verified),,,
G4,Preview,Added/removed counts,As a user I see +added/−removed totals for a diff.,Peek header shows +N green / −N red counts.,Yes,Tested-Pass,static trace + suite,works (verified),,,
G5,Preview,Read-only text preview,As a user I preview a text file's content read-only.,A non-changed text file resolves to in-app text content (else hands to Quick Look).,Partial,Tested-FAIL,static trace,bug/high/functional,In-app read-only text preview is only reachable via the broken context-menu Quick Look (F4) or unreachable snapshot browse (G6) -> effectively unreachable.,PENDING: fixed together with F4.,
G6,Preview,Branch snapshot preview via git show,"As a user previewing a browsed branch shows committed content, not disk (D2).","When browsing a snapshot, text preview comes from `git show ref:path`.",No (browse unreachable),Tested-FAIL,static trace,unreachable/med/functional,"Branch-snapshot preview via git show is correct but only runs when isBrowsingSnapshot is true, which only branch browse (K1) sets — and K1 has no UI entry.",PENDING: depends on wiring K1 branch browse.,
G7,Preview,Close peek,As a user I dismiss the peek with space or Esc.,Space or Esc closes the floating peek window.,Yes,Tested-Pass,static trace + suite,works (verified),,,
G8,Preview,Binary / no-change placeholders,As a user the diff view explains non-text diffs.,Binary files show 'Binary file'; empty hunks show 'No textual changes'.,Yes,Tested-Pass,static trace + suite,works (verified),,,
H1,Window,Float on top,As a user I keep teebe above other windows.,The pin toggles window level .floating/.normal and persists.,Yes,Tested-Pass,static trace + suite,works (verified),,,
H2,Window,Accordion sections,As a user I expand/collapse WORKTREES/CHANGES/FILES.,Each section header toggles open/closed with animation; headers always stay visible.,Yes,Tested-Pass,static trace + suite,works (verified),,,
H3,Window,Adaptive window sizing,As a user the window resizes sensibly to the open sections.,All-closed -> compact height; only-WORKTREES -> content-sized & height-locked; CHANGES/FILES open -> free height.,Yes,Tested-Pass,static trace + suite,works (verified),,,
H4,Window,Per-repo layout memory,As a user each repo reopens with the layout I left.,Open sections + window height are saved per repo and restored on select.,Yes,Tested-Pass,static trace + suite,works (verified),,,
H5,Window,Auto-hide traffic lights,As a user the window chrome stays minimal.,Close/min/zoom buttons fade in only while the title bar is hovered.,Yes,Tested-Pass,static trace + suite,works (verified),,,
H6,Window,Resize constraints,As a user the window can't be dragged to an unusable size.,Min width 250; min height 150 when a scrollable section is open; height locked when content-sized.,Yes,Tested-Pass,static trace + suite,works (verified),,,
H7,Window,Remember dragged height,As a user my manual window height is remembered.,Finishing a drag with a scrollable section open stores the new height per repo.,Yes,Tested-Pass,static trace + suite,works (verified),,,
I1,Persistence,Persist state,As a user my repos/prefs/selection survive relaunch.,"Repos, floatOnTop, last selected repo+worktree, and per-repo layout are written to state.json.",Yes,Tested-FAIL,unit UserStoryTests I2,bug/med/functional,persist() is never called on a selection change (only float/add/remove/setBase). addRepository also persists BEFORE selecting. Last selected repo/worktree is not durably saved.,PENDING: persist on selectRepo/selectWorktree; persist after add's await.,
I2,Persistence,Restore on launch,As a user teebe reopens where I left off.,"Bootstrap restores repos, floatOnTop, and the last selected repo (then focuses primary worktree).",Yes,Tested-FAIL,unit UserStoryTests I2,bug/med/functional,"Consequence of I1: after a plain repo switch + quit, relaunch reopens a stale repo (the read side restores correctly but the saved value is stale).",PENDING: fixed with I1.,
I3,Persistence,Restore last worktree,"As a user my last selected worktree is reselected, not reset to primary.",lastSelectedWorktreePath should reselect that worktree on launch.,No (half-wired),Tested-FAIL,unit UserStoryTests I3 (withKnownIssue),bug/med/functional,"lastSelectedWorktreePath is written but never read; bootstrap always focuses the primary worktree, so a non-primary last selection is lost.","PENDING: in bootstrap, reselect the worktree matching lastSelectedWorktreePath.",
I4,Persistence,Graceful first-run/corruption,As a user a missing/corrupt state file doesn't break startup.,load() returns defaults when state.json is missing or unreadable.,Yes,Tested-Pass,static trace + suite,works (verified),,,
J1,Live,Watch worktree for changes,As a user the tree/badges update as files change.,FSEvents on the worktree trigger a debounced status refresh + tree rebuild.,Yes,Tested-Pass,static trace + suite,works (verified),,,
J2,Live,Record write activity,As a user recent writes mark a worktree live/busy.,Writes within the busy window flag the worktree live (dot) and busy (guard warning).,Yes (false positives),Tested-FAIL,static trace,bug/med/functional,FSEvents callback records teebe's OWN writes (discard/trash/new/rename/duplicate) as worktree activity -> false 'an agent may be active' busy warning and false live dot for the user's own actions.,PENDING: suppress activity recording for teebe-originated writes (ignore window).,
J3,Live,Busy warning on guarded ops,As a user I'm warned before mutating a busy worktree.,The confirm dialog adds a warning when the worktree was written within 5s.,Yes,Tested-Pass,static trace + suite,works (verified),,,
K1,Branches,Browse branch read-only (D2),As a user I view another branch's files without checking it out.,"Selecting a branch loads its committed tree read-only (snapshot), working dir untouched.",No (not wired),Tested-FAIL,unit ViewModelTests:68,unreachable/med/functional,"Browse-branch read-only snapshot is implemented+tested in VM/core, but no UI invokes selector.browse(branch:) — no 'Branch ▾' selector exists.",PENDING: add a Branch menu that calls selector.browse(branch:) + stopBrowsing.,
K2,Branches,Stop browsing,As a user I return from a snapshot to the live working tree.,Stop browsing reloads the worktree's own working tree.,No (not wired),Tested-FAIL,static trace,unreachable/low/functional,stopBrowsing() is correct but has no caller (depends on K1 being reachable).,PENDING: add a 'viewing branch — return' affordance (with K1).,
K3,Branches,Checkout a branch (guarded),As a user I switch a worktree's branch with a safety confirm.,requestCheckout -> confirm -> `git checkout <branch>` with busy warning.,No (not wired),Tested-FAIL,static trace,unreachable/med/functional,requestCheckout(branch:) has zero callers; the full checkout confirm path is wired but no UI sets a .checkout pending mutation.,PENDING: add a 'Checkout…' affordance that calls requestCheckout.,
K4,Branches,Discover branches,As a user branches are available for repo actions.,"On repo select, local+remote branches are listed (used by Set Base Branch).",Yes,Tested-Pass,static trace + suite,works (verified),,,
L1,Diff,Unified diff rendering,As a user I read a clear unified diff.,"Old/new line numbers, +/−/space markers, color, long lines wrap to fill the window.",Yes,Tested-Pass,static trace + suite,works (verified),,,
L2,Diff,Side-by-side split,As a user I read a VSCode-style two-column diff.,Deletions/additions pair row-for-row; missing counterpart shows a faint filler band.,Yes,Tested-Pass,static trace + suite,works (verified),,,
L3,Diff,Hunk headers,As a user hunks are labeled with their ranges.,"Each hunk shows `@@ -a,b +c,d @@` plus any section context.",Yes,Tested-Pass,static trace + suite,works (verified),,,
